InvoiceNo,OrderDate,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,Revenue
I100000,2023-02-07 12:45:09,C8163,P0148,Product_148,Sports,1,1532.9,1532.9
I100001,2024-08-14 23:41:40,C8563,P0218,Product_218,Beauty,3,2252.15,6756.45
I100002,2024-04-07 21:47:19,C1617,P0021,Product_21,Home,4,1854.97,7419.88
I100003,2023-11-02 09:11:43,C4630,P0043,Product_43,Home,1,151.45,151.45
I100004,2023-01-14 10:22:25,C7619,P0224,Product_224,Home,2,1134.76,2269.52
I100005,2023-11-24 16:03:55,C8056,P0167,Product_167,Clothing,2,996.3,1992.6
I100006,2024-03-26 10:37:04,C8012,P0153,Product_153,Food,3,477.44,1432.32
I100007,2024-05-02 00:15:00,C5508,P0252,Product_252,Electronics,2,1186.04,2372.08
I100008,2024-02-02 23:31:56,C1802,P0010,Product_10,Electronics,4,2138.81,8555.24
I100009,2024-07-28 23:17:54,C1414,P0243,Product_243,Beauty,-2,2748.85,-5497.7
I100010,2024-04-12 07:09:44,C5428,P0192,Product_192,Electronics,5,2696.79,13483.95
I100011,2023-04-22 21:35:12,C7848,P0045,Product_45,Electronics,1,813.4,813.4
I100012,2023-03-13 19:17:03,C1120,P0178,Product_178,Home,3,1190.87,3572.61
I100013,2023-08-15 05:59:56,C8938,P0173,Product_173,Electronics,9,1560.67,14046.03
I100014,2024-02-21 07:17:48,C1764,P0152,Product_152,Food,1,756.71,756.71
I100015,2023-03-10 11:40:01,C8588,P0167,Product_167,Clothing,1,996.3,996.3
I100016,2023-09-17 09:54:58,C7173,P0282,Product_282,Sports,3,1047.09,3141.27
I100017,2023-06-05 02:55:41,C7952,P0165,Product_165,Clothing,2,316.35,632.7
I100018,2023-10-23 12:23:26,C2936,P0005,Product_5,Clothing,2,510.25,1020.5
I100019,2024-03-25 01:57:28,C2362,P0254,Product_254,Electronics,1,984.92,984.92
I100020,2024-06-23 16:28:34,C4329,P0143,Product_143,Electronics,4,1516.88,6067.52
I100021,2024-01-19 16:58:28,C4978,P0242,Product_242,Home,2,2864.09,5728.18
I100022,2024-09-04 19:24:20,C4943,P0231,Product_231,Food,2,2394.69,4789.38
I100023,2024-04-26 09:19:49,C2751,P0008,Product_8,Home,-1,2605.22,-2605.22
I100024,2023-04-12 17:10:39,C8392,P0253,Product_253,Clothing,2,2560.85,5121.7
I100025,2024-01-26 23:54:33,C1480,P0122,Product_122,Sports,4,2693.47,10773.88
I100026,2023-12-26 11:19:32,C2348,P0172,Product_172,Food,2,98.93,197.86
I100027,2024-06-04 04:58:48,C4104,P0134,Product_134,Food,2,1045.96,2091.92
I100028,2024-12-03 14:35:04,C1017,P0132,Product_132,Sports,1,705.22,705.22
I100029,2023-11-09 14:18:19,C4198,P0049,Product_49,Clothing,4,1662.8,6651.2
I100030,2024-06-11 20:41:06,C3172,P0056,Product_56,Beauty,5,2769.53,13847.65
I100031,2024-03-31 15:01:34,C8590,P0195,Product_195,Food,1,1050.14,1050.14
