CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,RF_Score,Segment
C1000,74,8,18973.22,3,4,3,343,34,Potential
C1001,160,5,13774.6,2,2,2,222,22,At Risk / Lost
C1002,18,6,17077.88,5,3,3,533,53,Loyal
C1003,163,4,10714.509999999998,2,1,2,212,21,At Risk / Lost
C1004,56,9,23311.7,4,5,4,454,45,Champions
C1005,20,10,39356.61,5,5,5,555,55,Champions
C1006,21,6,10516.630000000001,5,3,2,532,53,Loyal
C1007,72,3,11320.420000000002,3,1,2,312,31,Needs Attention
C1008,59,9,39960.72,4,5,5,455,45,Champions
C1009,48,6,15345.07,4,3,2,432,43,Loyal
C1010,160,4,11373.79,2,1,2,212,21,At Risk / Lost
C1011,410,7,18269.010000000002,1,3,3,133,13,Needs Attention
C1012,29,9,35255.5,4,5,5,455,45,Champions
C1013,113,5,5721.349999999999,2,2,1,221,22,At Risk / Lost
C1014,211,2,14288.5,1,1,2,112,11,At Risk / Lost
C1015,162,3,1047.51,2,1,1,211,21,At Risk / Lost
C1016,150,6,16314.09,2,3,3,233,23,Needs Attention
C1017,12,8,12258.51,5,4,2,542,54,Champions
C1018,7,6,30709.050000000003,5,3,5,535,53,Loyal
C1019,668,1,2261.54,1,1,1,111,11,At Risk / Lost
C1020,213,7,44610.84,1,3,5,135,13,Needs Attention
C1021,69,9,23506.16,3,5,4,354,35,Potential
C1022,75,10,19891.84,3,5,3,353,35,Potential
C1023,41,7,20535.85,4,3,3,433,43,Loyal
C1024,34,5,23116.88,4,2,4,424,42,Potential
C1025,22,10,26520.27,5,5,4,554,55,Champions
C1026,38,4,5605.17,4,1,1,411,41,Needs Attention
C1027,37,7,35157.18,4,3,5,435,43,Loyal
C1028,15,8,34856.1,5,4,5,545,54,Champions
C1029,169,6,17544.13,2,3,3,233,23,Needs Attention
C1030,152,8,14651.59,2,4,2,242,24,Big Spenders
C1031,70,6,33739.09,3,3,5,335,33,Potential
C1032,502,1,904.77,1,1,1,111,11,At Risk / Lost
C1033,28,6,25138.62,4,3,4,434,43,Loyal
C1034,48,4,18457.9,4,1,3,413,41,Needs Attention
C1035,99,13,33703.07,3,5,5,355,35,Potential
C1036,34,5,14834.82,4,2,2,422,42,Potential
C1037,94,4,24042.27,3,1,4,314,31,Needs Attention
C1038,17,8,23241.88,5,4,4,544,54,Champions
C1039,213,6,11071.08,1,3,2,132,13,Needs Attention
C1040,58,8,30905.370000000003,4,4,5,445,44,Champions
C1041,15,8,16080.68,5,4,3,543,54,Champions
C1042,179,7,19253.33,2,3,3,233,23,Needs Attention
C1043,14,5,18324.86,5,2,3,523,52,Potential
C1044,476,3,9048.42,1,1,1,111,11,At Risk / Lost
C1045,14,6,5386.74,5,3,1,531,53,Loyal
C1046,217,5,13882.44,1,2,2,122,12,At Risk / Lost
C1047,28,7,28334.1,4,3,5,435,43,Loyal
C1048,77,9,30655.77,3,5,5,355,35,Potential
C1049,39,3,6083.82,4,1,1,411,41,Needs Attention
C1050,58,5,20157.420000000002,4,2,3,423,42,Potential
C1051,73,7,26224.019999999997,3,3,4,334,33,Potential
C1052,31,10,36008.02,4,5,5,455,45,Champions
C1053,53,7,44459.1,4,3,5,435,43,Loyal
C1054,106,5,6660.94,3,2,1,321,32,Potential
C1055,71,6,20695.62,3,3,3,333,33,Potential
C1056,7,7,11889.39,5,3,2,532,53,Loyal
C1057,296,4,11483.070000000002,1,1,2,112,11,At Risk / Lost
C1058,57,6,14294.43,4,3,2,432,43,Loyal
C1059,34,10,28311.27,4,5,5,455,45,Champions
C1060,3,9,23582.69,5,5,4,554,55,Champions
C1062,25,9,26334.46,5,5,4,554,55,Champions
